,zip,num_tracts,percent_ej
0,601,7,100.0
1,602,9,100.0
2,603,16,100.0
3,606,4,100.0
4,610,8,100.0
5,612,21,95.23809523809526
6,616,4,100.0
7,617,5,100.0
8,622,3,100.0
9,623,10,100.0
10,624,8,100.0
11,627,7,100.0
12,631,2,100.0
13,637,7,100.0
14,638,5,100.0
15,641,9,100.0
16,646,8,100.0
17,647,4,100.0
18,650,6,100.0
19,652,2,100.0
20,653,5,100.0
21,656,5,100.0
22,659,6,100.0
23,660,4,100.0
24,662,9,100.0
25,664,4,100.0
26,667,6,100.0
27,669,10,100.0
28,670,4,100.0
29,674,10,100.0
30,676,8,100.0
31,677,4,100.0
32,678,6,100.0
33,680,23,82.6086956521739
34,682,14,71.42857142857143
35,683,7,85.71428571428571
36,685,10,100.0
37,687,6,100.0
38,688,5,100.0
39,690,2,100.0
40,692,7,100.0
41,693,14,100.0
42,694,1,100.0
43,698,12,100.0
44,703,7,100.0
45,704,3,100.0
46,705,7,100.0
47,707,3,100.0
48,714,4,100.0
49,715,5,100.0
50,716,11,90.9090909090909
51,717,8,75.0
52,718,4,100.0
53,719,7,100.0
54,720,8,100.0
55,723,4,100.0
56,725,31,96.77419354838712
57,727,14,100.0
58,728,14,78.57142857142857
59,729,14,92.85714285714286
60,730,17,94.11764705882354
61,731,10,90.0
62,735,5,80.0
63,736,15,100.0
64,738,9,100.0
65,739,10,100.0
66,740,1,100.0
67,741,1,100.0
68,745,12,100.0
69,751,7,100.0
70,754,9,100.0
71,757,5,80.0
72,765,2,100.0
73,766,7,100.0
74,767,9,100.0
75,769,9,100.0
76,771,6,100.0
77,772,8,100.0
78,773,5,100.0
79,775,1,100.0
80,777,9,100.0
81,778,9,100.0
82,780,4,75.0
83,782,5,100.0
84,783,6,100.0
85,784,9,100.0
86,786,1,100.0
87,791,12,100.0
88,794,8,100.0
89,795,12,100.0
90,901,7,71.42857142857143
91,906,1,100.0
92,907,8,62.5
93,909,8,62.5
94,911,7,42.857142857142854
95,912,4,50.0
96,913,3,66.66666666666667
97,915,14,92.85714285714286
98,917,7,85.71428571428571
99,918,8,75.0
100,920,7,85.71428571428571
101,921,12,91.66666666666667
102,923,12,91.66666666666667
103,924,18,100.0
104,925,4,50.0
105,926,33,66.66666666666667
106,927,10,60.0
107,934,2,100.0
108,936,1,100.0
109,949,25,88.0
110,950,1,100.0
111,951,1,100.0
112,952,6,100.0
113,953,16,100.0
114,956,30,100.0
115,957,21,95.23809523809526
116,959,27,85.18518518518519
117,960,1,100.0
118,961,11,81.81818181818181
119,962,14,71.42857142857143
120,965,4,100.0
121,966,10,50.0
122,968,2,0.0
123,969,14,71.42857142857143
124,971,12,83.33333333333333
125,976,19,89.47368421052632
126,979,6,33.333333333333336
127,982,5,80.0
128,983,10,100.0
129,985,9,100.0
130,987,13,92.3076923076923
131,1001,5,0.0
132,1002,9,0.0
133,1003,1,0.0
134,1005,1,0.0
135,1007,2,0.0
136,1008,1,0.0
137,1009,1,0.0
138,1010,1,0.0
139,1011,2,0.0
140,1012,1,0.0
141,1013,9,55.55555555555556
142,1020,9,11.11111111111111
143,1022,3,0.0
144,1026,1,0.0
145,1027,4,0.0
146,1028,3,0.0
147,1029,1,0.0
148,1030,4,0.0
149,1031,1,0.0
150,1032,1,0.0
151,1033,1,0.0
152,1034,1,0.0
153,1035,1,0.0
154,1036,1,0.0
155,1037,1,0.0
