"GEO_ID","P001001","NAME"
"8600000US00601","18570","ZCTA5 00601"
"8600000US00602","41520","ZCTA5 00602"
"8600000US00603","54689","ZCTA5 00603"
"8600000US00606","6615","ZCTA5 00606"
"8600000US00610","29016","ZCTA5 00610"
"8600000US00612","67010","ZCTA5 00612"
"8600000US00616","11017","ZCTA5 00616"
"8600000US00617","24597","ZCTA5 00617"
"8600000US00622","7853","ZCTA5 00622"
"8600000US00623","43061","ZCTA5 00623"
"8600000US00624","26241","ZCTA5 00624"
"8600000US00627","35159","ZCTA5 00627"
"8600000US00631","1852","ZCTA5 00631"
"8600000US00637","25287","ZCTA5 00637"
"8600000US00638","18941","ZCTA5 00638"
"8600000US00641","31191","ZCTA5 00641"
"8600000US00646","38199","ZCTA5 00646"
"8600000US00647","6172","ZCTA5 00647"
"8600000US00650","14998","ZCTA5 00650"
"8600000US00652","4715","ZCTA5 00652"
"8600000US00653","13307","ZCTA5 00653"
"8600000US00656","21481","ZCTA5 00656"
"8600000US00659","41953","ZCTA5 00659"
"8600000US00660","17250","ZCTA5 00660"
"8600000US00662","43282","ZCTA5 00662"
"8600000US00664","16784","ZCTA5 00664"
"8600000US00667","25968","ZCTA5 00667"
"8600000US00669","29744","ZCTA5 00669"
"8600000US00670","9807","ZCTA5 00670"
"8600000US00674","44457","ZCTA5 00674"
"8600000US00676","40316","ZCTA5 00676"
"8600000US00677","15272","ZCTA5 00677"
"8600000US00678","27819","ZCTA5 00678"
"8600000US00680","58140","ZCTA5 00680"
"8600000US00682","32615","ZCTA5 00682"
"8600000US00683","33772","ZCTA5 00683"
"8600000US00685","42831","ZCTA5 00685"
"8600000US00687","32610","ZCTA5 00687"
"8600000US00688","13543","ZCTA5 00688"
"8600000US00690","6255","ZCTA5 00690"
"8600000US00692","37511","ZCTA5 00692"
"8600000US00693","61038","ZCTA5 00693"
"8600000US00694","328","ZCTA5 00694"
"8600000US00698","41782","ZCTA5 00698"
"8600000US00703","28605","ZCTA5 00703"
"8600000US00704","8577","ZCTA5 00704"
"8600000US00705","25598","ZCTA5 00705"
"8600000US00707","12225","ZCTA5 00707"
"8600000US00714","19566","ZCTA5 00714"
"8600000US00715","3656","ZCTA5 00715"
"8600000US00716","33779","ZCTA5 00716"
"8600000US00717","18457","ZCTA5 00717"
"8600000US00718","26606","ZCTA5 00718"
"8600000US00719","30990","ZCTA5 00719"
"8600000US00720","23129","ZCTA5 00720"
"8600000US00723","19277","ZCTA5 00723"
"8600000US00725","89374","ZCTA5 00725"
"8600000US00727","58382","ZCTA5 00727"
"8600000US00728","44908","ZCTA5 00728"
"8600000US00729","53750","ZCTA5 00729"
"8600000US00730","35742","ZCTA5 00730"
"8600000US00731","15524","ZCTA5 00731"
"8600000US00735","13730","ZCTA5 00735"
"8600000US00736","51532","ZCTA5 00736"
"8600000US00738","34922","ZCTA5 00738"
"8600000US00739","39678","ZCTA5 00739"
"8600000US00740","2071","ZCTA5 00740"
"8600000US00741","4971","ZCTA5 00741"
"8600000US00745","55062","ZCTA5 00745"
"8600000US00751","23129","ZCTA5 00751"
